Country,Status,Life expectancy,GDP
Somalia,Developing,55,426.98537
South Africa,Developing,62.9,5769.77258
South Sudan,Developing,57.3,758.725782
Spain,Developed,82.8,25683.84565
Sri Lanka,Developing,74.9,3844.89123
Sudan,Developing,64.1,2513.884661
Suriname,Developing,71.6,8818.982566
Swaziland,Developing,58.9,3136.92511
Sweden,Developed,82.4,5585.25847
Switzerland,Developed,83.4,8989.8424
Syrian Arab Republic,Developing,64.5,
Tajikistan,Developing,69.7,918.6771543
Thailand,Developing,74.9,5814.863134
The former Yugoslav republic of Macedonia,Developing,75.7,
Timor-Leste,Developing,68.3,1161.76935
Togo,Developing,59.9,551.138346
Tonga,Developing,73.5,493.775387
Trinidad and Tobago,Developing,71.2,17321.83373
Tunisia,Developing,75.3,3828.91589
Turkey,Developing,75.8,1979.52569
Turkmenistan,Developing,66.3,6432.668768
Uganda,Developing,62.3,693.8963829
Ukraine,Developing,71.3,2124.662666
United Arab Emirates,Developing,77.1,3911.74689
United Kingdom of Great Britain and Northern Ireland,Developed,81.2,
United Republic of Tanzania,Developing,61.8,
United States of America,Developed,79.3,
Uruguay,Developing,77,15524.84247
Uzbekistan,Developing,69.4,2137.576852
Vanuatu,Developing,72,285.83414
Venezuela (Bolivarian Republic of),Developing,74.1,
Viet Nam,Developing,76,
Yemen,Developing,65.7,
Zambia,Developing,61.8,1313.889646
Zimbabwe,Developing,67,118.69383

